step,eval_return_mean,eval_return_std,train_return_mean,episodes,distinct_states,loss,epsilon,mean_bonus,distinct_keys
240000,0.0,0.0,0.036,738,48,5.337735274224542e-05,0.05,0.0002826852831518319,281.0
245000,0.0,0.0,0.0,752,48,8.303097274620086e-05,0.05,0.00042671757883726703,281.0
250000,0.0,0.0,0.044875,766,48,6.435207978938706e-06,0.05,0.0002886617761822836,281.0
255000,0.0,0.0,0.071125,781,48,5.121995855006389e-05,0.05,0.0004166275916711867,281.0
260000,0.0,0.0,0.10837499999999997,796,48,1.739076651574578e-05,0.05,0.0005043196271142183,282.0
265000,0.0,0.0,0.126625,812,48,6.405176918633515e-06,0.05,0.00024341079418015694,282.0
270000,0.0,0.0,0.0,826,48,9.599285476724617e-06,0.05,0.00020139098539377376,283.0
275000,0.0,0.0,0.029874999999999995,840,48,6.141828635009006e-06,0.05,0.00018285778375976252,284.0
280000,0.0,0.0,0.0,854,48,8.605960829299875e-06,0.05,0.0005147477139792907,287.0
285000,0.0,0.0,0.040249999999999994,869,48,3.2582843232376035e-06,0.05,0.0005124494260877262,288.0
290000,0.0,0.0,0.040249999999999994,883,48,2.9158459255995695e-06,0.05,0.00017772113109776393,294.0
295000,0.0,0.0,0.0,897,48,7.925093086669222e-06,0.05,0.00020578993563891195,296.0
300000,0.0,0.0,0.0,911,48,3.4466665965737775e-06,0.05,0.00024153806170755458,296.0
305000,0.0,0.0,0.0,925,48,1.1843593483717996e-06,0.05,0.00014915940458599402,296.0
310000,0.0,0.0,0.016125,939,48,5.3961912271915935e-06,0.05,0.00024241130442236996,296.0
315000,0.0,0.0,0.0,953,48,4.038173756271135e-06,0.05,0.00017264816766666006,297.0
